# Camera trajectory (x y z format)
# Each line represents a camera position in world coordinates
4.696454+0.000000j 5.826836+0.000000j 13.958169+0.000000j
3.912161+0.000000j 5.671684+0.000000j 13.359799+0.000000j
3.572119+0.000000j 5.632196+0.000000j 13.016952+0.000000j
4.060083+0.000000j 5.941432+0.000000j 13.833203+0.000000j
4.694421+0.000000j 5.846228+0.000000j 13.066032+0.000000j
8.349751+0.000000j 8.369577+0.000000j 24.545549+0.000000j
9.213031+0.000000j 6.782534+0.000000j 23.238583+0.000000j
5.419056+0.000000j 6.479706+0.000000j 15.827813+0.000000j
5.742256+0.000000j 6.176123+0.000000j 16.724127+0.000000j
4.820702+0.000000j 6.483832+0.000000j 16.487370+0.000000j
5.494067+0.000000j 6.285469+0.000000j 18.070902+0.000000j
5.846279+0.000000j 6.804780+0.000000j 16.905004+0.000000j
5.926606+0.000000j 5.965372+0.000000j 15.557240+0.000000j
6.549676+0.000000j 5.968561+0.000000j 16.339400+0.000000j
7.179239+0.000000j 6.507722+0.000000j 16.898824+0.000000j
8.067042+0.000000j 7.094493+0.000000j 17.477398+0.000000j
7.355080+0.000000j 7.112214+0.000000j 16.572400+0.000000j
7.838635+0.000000j 6.455235+0.000000j 15.798971+0.000000j
7.020845+0.000000j 6.023139+0.000000j 15.418823+0.000000j
6.112202+0.000000j 5.652855+0.000000j 15.225800+0.000000j
6.479673+0.000000j 6.351586+0.000000j 14.612009+0.000000j
5.683524+0.000000j 5.747591+0.000000j 14.575441+0.000000j
6.581068+0.000000j 6.116661+0.000000j 14.816694+0.000000j
5.674858+0.000000j 6.314989+0.000000j 14.443264+0.000000j
4.813147+0.000000j 6.664825+0.000000j 14.075747+0.000000j
10.979464+0.000000j 5.345699+0.000000j 4.170557+0.000000j
11.084777+0.000000j 5.328504+0.000000j 3.991099+0.000000j
11.611386+0.000000j 4.913087+0.000000j 3.102950+0.000000j
11.169948+0.000000j 5.376014+0.000000j 3.871605+0.000000j
10.640627+0.000000j 5.501777+0.000000j 4.710654+0.000000j
9.857393+0.000000j 5.882206+0.000000j 5.202403+0.000000j
10.216875+0.000000j 4.992502+0.000000j 5.483825+0.000000j
11.795875+0.000000j 6.086112+0.000000j 5.494550+0.000000j
11.903745+0.000000j 5.433180+0.000000j 6.244246+0.000000j
12.310832+0.000000j 4.561497+0.000000j 5.971393+0.000000j
-0.127474+0.000000j 9.648155+0.000000j -3.721040+0.000000j
-0.436224+0.000000j 9.526171+0.000000j -4.070327+0.000000j
-0.505114+0.000000j 9.511579+0.000000j -4.132237+0.000000j
0.187649+0.000000j 10.106389+0.000000j -3.724462+0.000000j
-0.403353+0.000000j 10.354474+0.000000j -4.492036+0.000000j
-0.044493+0.000000j 10.997455+0.000000j -5.168641+0.000000j
0.762789+0.000000j 11.587135+0.000000j -5.192607+0.000000j
-1.707645+0.000000j 10.933902+0.000000j -7.382374+0.000000j
-1.640699+0.000000j 10.722619+0.000000j -8.357504+0.000000j
-0.988724+0.000000j 10.360031+0.000000j -9.023430+0.000000j
-19.074972+0.000000j 18.151943+0.000000j -1.736746+0.000000j
-18.323687+0.000000j 18.435983+0.000000j -2.206368+0.000000j
