# Camera trajectory (x y z format)
# Each line represents a camera position in world coordinates
-83.678775+0.000000j -3.446010+0.000000j -61.319425+0.000000j
-82.930765+0.000000j -3.228491+0.000000j -60.750985+0.000000j
-83.446050+0.000000j -3.572365+0.000000j -61.637137+0.000000j
-84.453829+0.000000j -4.787720+0.000000j -62.452972+0.000000j
-83.492303+0.000000j -4.727961+0.000000j -62.184837+0.000000j
-82.526691+0.000000j -4.760242+0.000000j -61.926864+0.000000j
-83.381713+0.000000j -4.419673+0.000000j -62.477757+0.000000j
-83.953888+0.000000j -4.214227+0.000000j -62.585141+0.000000j
-84.962732+0.000000j -4.979097+0.000000j -63.000429+0.000000j
-85.899803+0.000000j -4.852213+0.000000j -63.325696+0.000000j
-84.932380+0.000000j -4.759468+0.000000j -63.090130+0.000000j
-83.280966+0.000000j -4.047374+0.000000j -61.903490+0.000000j
-83.777415+0.000000j -5.203073+0.000000j -63.241393+0.000000j
-86.739044+0.000000j -4.571801+0.000000j -84.242340+0.000000j
-85.778351+0.000000j -4.454858+0.000000j -83.990562+0.000000j
-84.803907+0.000000j -4.364429+0.000000j -83.784937+0.000000j
-83.149135+0.000000j -4.107755+0.000000j -83.195425+0.000000j
-83.573756+0.000000j -4.318771+0.000000j -83.626095+0.000000j
-83.726552+0.000000j -4.449352+0.000000j -84.101049+0.000000j
-82.742354+0.000000j -4.344549+0.000000j -83.958326+0.000000j
-81.763229+0.000000j -4.239493+0.000000j -83.784321+0.000000j
-81.235842+0.000000j -3.955627+0.000000j -83.348552+0.000000j
-81.286322+0.000000j -4.424546+0.000000j -83.989586+0.000000j
-82.742859+0.000000j -3.865555+0.000000j -83.742231+0.000000j
-81.768083+0.000000j -3.743717+0.000000j -83.555233+0.000000j
-80.808076+0.000000j -3.595203+0.000000j -83.317896+0.000000j
-79.019294+0.000000j -3.362054+0.000000j -82.740733+0.000000j
-79.640128+0.000000j -3.605175+0.000000j -83.431307+0.000000j
-79.043302+0.000000j -3.714863+0.000000j -83.500551+0.000000j
-78.059967+0.000000j -3.614647+0.000000j -83.348865+0.000000j
-79.052013+0.000000j -3.740506+0.000000j -83.350829+0.000000j
-80.214130+0.000000j -3.743535+0.000000j -83.243284+0.000000j
-80.761073+0.000000j -3.949404+0.000000j -84.083807+0.000000j
-81.549189+0.000000j -4.054009+0.000000j -84.987712+0.000000j
-80.562017+0.000000j -3.966948+0.000000j -84.853881+0.000000j
-81.541139+0.000000j -3.981578+0.000000j -85.056628+0.000000j
-82.720203+0.000000j -4.018087+0.000000j -84.944008+0.000000j
-83.327940+0.000000j -4.096999+0.000000j -85.421486+0.000000j
-84.012664+0.000000j -4.525701+0.000000j -86.112135+0.000000j
-84.941133+0.000000j -4.551592+0.000000j -86.482640+0.000000j
-85.910765+0.000000j -4.625969+0.000000j -86.715627+0.000000j
-86.837242+0.000000j -4.695143+0.000000j -87.203827+0.000000j
-87.675924+0.000000j -4.905765+0.000000j -87.501148+0.000000j
-88.532229+0.000000j -5.134177+0.000000j -87.694887+0.000000j
-89.516375+0.000000j -5.256931+0.000000j -87.822899+0.000000j
-88.527178+0.000000j -5.124391+0.000000j -87.760279+0.000000j
-89.691520+0.000000j -4.933213+0.000000j -88.048639+0.000000j
-90.152023+0.000000j -5.122489+0.000000j -88.256378+0.000000j
-90.889937+0.000000j -5.214716+0.000000j -88.455580+0.000000j
-89.933059+0.000000j -5.105445+0.000000j -88.186424+0.000000j
-89.130890+0.000000j -5.019342+0.000000j -87.595568+0.000000j
-87.126497+0.000000j -5.303533+0.000000j -87.898245+0.000000j
-88.760701+0.000000j -4.600700+0.000000j -85.707336+0.000000j
-88.993737+0.000000j -2.229100+0.000000j -82.713379+0.000000j
-88.064149+0.000000j -2.444141+0.000000j -82.414007+0.000000j
-87.111496+0.000000j -2.678002+0.000000j -82.219685+0.000000j
-86.414413+0.000000j -2.682429+0.000000j -82.158440+0.000000j
-85.780251+0.000000j -3.626547+0.000000j -82.780604+0.000000j
-88.648519+0.000000j -4.288223+0.000000j -79.650018+0.000000j
-88.363885+0.000000j -4.458613+0.000000j -80.593390+0.000000j
-87.616613+0.000000j -4.368010+0.000000j -79.935077+0.000000j
-86.801002+0.000000j -4.915993+0.000000j -79.219447+0.000000j
-86.285310+0.000000j -5.617481+0.000000j -79.798373+0.000000j
-86.087881+0.000000j -4.428643+0.000000j -78.590037+0.000000j
-85.200524+0.000000j -4.723872+0.000000j -78.235867+0.000000j
-85.051022+0.000000j -4.344116+0.000000j -79.148793+0.000000j
-83.598934+0.000000j -4.356303+0.000000j -78.849851+0.000000j
-83.931524+0.000000j -5.400578+0.000000j -78.686762+0.000000j
-83.070994+0.000000j -5.028638+0.000000j -77.640778+0.000000j
-82.443871+0.000000j -5.105380+0.000000j -76.865648+0.000000j
-83.226976+0.000000j -5.420572+0.000000j -77.401745+0.000000j
-84.454847+0.000000j -6.073704+0.000000j -77.837129+0.000000j
-83.985579+0.000000j -6.161799+0.000000j -78.654777+0.000000j
-81.738584+0.000000j -8.305695+0.000000j -82.515337+0.000000j
-82.280156+0.000000j -8.004444+0.000000j -83.300161+0.000000j
-82.337725+0.000000j -8.608216+0.000000j -82.505085+0.000000j
-82.406548+0.000000j -9.061048+0.000000j -82.844802+0.000000j
-81.364303+0.000000j -7.894312+0.000000j -83.847724+0.000000j
-79.729956+0.000000j -9.716525+0.000000j -87.948234+0.000000j
-80.232476+0.000000j -9.003164+0.000000j -88.436691+0.000000j
-80.774456+0.000000j -9.746364+0.000000j -88.044376+0.000000j
-81.072343+0.000000j -10.244047+0.000000j -86.738165+0.000000j
-81.948767+0.000000j -11.206465+0.000000j -87.670323+0.000000j
-82.592876+0.000000j -12.130442+0.000000j -88.253192+0.000000j
-83.012466+0.000000j -12.859094+0.000000j -87.711888+0.000000j
-83.698687+0.000000j -13.388481+0.000000j -87.213039+0.000000j
-85.078452+0.000000j -13.552282+0.000000j -85.736527+0.000000j
-84.289624+0.000000j -14.208369+0.000000j -87.843789+0.000000j
-83.805718+0.000000j -15.410127+0.000000j -91.605103+0.000000j
-84.521646+0.000000j -15.923915+0.000000j -91.132378+0.000000j
-85.441981+0.000000j -15.670940+0.000000j -91.430684+0.000000j
